"","run","agent","RunAgentsurprise_lone_mean","RunAgentsurprise_lone_max","RunAgentsurprise_cond_mean","RunAgentsurprise_cond_max","RunAgentsurprise_cond2_mean","RunAgentsurprise_cond2_max","RunAgentblnkt_surprise_lone_mean","RunAgentblnkt_surprise_lone_max","RunAgentblnkt_surprise_cond_mean","RunAgentblnkt_surprise_cond_max","RunAgentblnkt_surprise_cond2_mean","RunAgentblnkt_surprise_cond2_max","RunAgentint_surprise_lone_mean","RunAgentint_surprise_lone_max","RunAgentint_surprise_cond_mean","RunAgentint_surprise_cond_max","RunAgentint_surprise_cond2_mean","RunAgentint_surprise_cond2_max"
"75",1,13,5.6848339157197,8.34854,5.88622999526515,8.34854,6.0712746780303,8.34854,5.01805925662879,8.34854,5.28233616477273,8.34854,5.48607289772727,8.34854,5.30061634469697,8.34854,5.63908113162879,8.34854,5.91586267045455,8.34854
"76",1,14,5.71752163825758,8.34854,5.92668741950758,8.34854,6.11050027462121,8.34854,5.06694352272727,8.34854,5.33113122632576,8.34854,5.53755228693182,8.34854,5.06391970170455,8.34854,5.23264251893939,8.34854,5.3938436032197,8.34854
"77",1,15,5.71709258996212,8.34854,5.92618477746212,8.34854,6.11395956912879,8.34854,5.06618611742424,8.34854,5.32853438920455,8.34854,5.53591264204545,8.34854,5.06069821022727,8.34854,5.22913291666667,8.34854,5.39063185132576,8.34854
"78",1,16,5.71982488162879,8.34854,5.92668741950758,8.34854,6.11050027462121,8.34854,5.06470382102273,8.34854,5.33623738636364,8.34854,5.54964096590909,8.34854,5.06685615530303,8.34854,5.23461169507576,8.34854,5.39581277935606,8.34854
"79",1,17,5.72447400568182,8.34854,5.92985638257576,8.34854,6.11357345170455,8.34854,5.06625632102273,8.34854,5.33031483901515,8.34854,5.53653337594697,8.34854,5.34405076231061,8.34854,5.62115349905303,8.34854,5.86576689393939,8.34854
"80",1,18,6.47041812026515,8.34854,6.72067229640152,8.34854,6.93225103693182,8.34854,5.84774044981061,8.34854,6.26414152462121,8.34854,6.51569428503788,8.34854,5.91408100852273,8.34854,6.27877501893939,8.34854,6.55914336647727,8.34854
"81",1,19,6.13687057291667,8.34854,6.38189926136364,8.34854,6.58109331912879,8.34854,5.62691824337121,8.34854,5.97914631628788,8.34854,6.20533507575758,8.34854,5.66698806344697,8.34854,5.97633530776515,8.34854,6.23595694128788,8.34854
"82",1,20,6.12560518465909,8.34854,6.3798396875,8.34854,6.57905061079545,8.34854,5.61078299715909,8.34854,5.96813216856061,8.34854,6.21288828125,8.34854,5.82202205965909,8.34854,6.12196882575758,8.34854,6.35922031723485,8.34854
"83",1,21,6.08857158617424,8.34854,6.33595686079545,8.34854,6.53803248579545,8.34854,5.60399290719697,8.34854,5.95769996685606,8.34854,6.18838095170455,8.34854,5.55396636837121,8.34854,5.86610241003788,8.34854,6.1310162594697,8.34854
"84",1,22,5.91895538825758,8.34854,6.19801901041667,8.34854,6.39947262310606,8.34854,5.47719253787879,8.34854,5.82751339015152,8.34854,6.05434629261364,8.34854,5.45854495738636,8.34854,5.80286838541667,8.34854,6.06469943655303,8.34854
"85",1,23,5.98243428503788,8.34854,6.23461200284091,8.34854,6.42649501893939,8.34854,5.48762161458333,8.34854,5.83898714488636,8.34854,6.06229139204545,8.34854,5.60451882575758,8.34854,5.94535534090909,8.34854,6.20158070075758,8.34854
